id,name,prompt_en
43,足利尊氏,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Muromachi shogun founder in full samurai armor, commanding warrior expression, first Ashikaga shogun, sword at side, opposing Emperor Go-Daigo."
44,後醍醐天皇,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese emperor in imperial robes, determined reformist expression, holding a Kenmu Restoration edict, crown and scepter, overthrew Kamakura shogunate."
45,桓武天皇,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese emperor in formal imperial robes, decisive expression, a tiny map of Heian-kyo (Kyoto) capital city layout behind him, founding the new capital 794."
46,武田信玄,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Sengoku warlord in red armor with iconic wide helmet, fierce strategic expression, wind-forest-fire-mountain battle standard (furinkazan) behind him."
47,上杉謙信,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese Sengoku warlord in blue-gray armor with Buddhist prayer beads, god-of-war expression, dragon battle standard, rival of Takeda Shingen."
48,千利休,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Azuchi-Momoyama tea master in simple dark kimono, serene wabi-sabi expression, holding a bamboo tea whisk and a plain rustic tea bowl, minimalist aesthetic."
49,徳川綱吉,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo shogun in formal robes, gentle animal-loving expression, a fluffy dog beside him, holding a scroll of Shorui Awaremi no Rei (Laws of Compassion for Living Things)."
50,徳川吉宗,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo shogun in austere simple robes, frugal reformer expression, holding a Kyoho Reform scroll, no-nonsense fiscal austerity posture."
51,松尾芭蕉,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo haiku poet in traveling straw sandals and sedge hat, wandering philosopher expression, holding a haiku scroll (Oku no Hosomichi), frog jumping into a pond."
52,葛飾北斎,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo ukiyo-e artist in casual robes, eccentric genius expression, holding a woodblock print of the Great Wave off Kanagawa, Mt Fuji in tiny background."
53,坂本龍馬,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo revolutionary in hakama with pistol at belt, free-spirited visionary expression, holding a Satchou Alliance document, globe symbolizing open Japan."
54,渋沢栄一,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji industrialist in Western suit, energetic entrepreneur expression, holding an abacus and factory blueprint, new 10000 yen bill portrait style."
55,津田梅子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji female educator in Western dress, pioneering determined expression, holding a textbook, founder of women's university, new 5000 yen bill portrait style."
56,北里柴三郎,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji bacteriologist in white lab coat, serious scientific expression, holding a vaccine syringe and petri dish, discovered tetanus treatment, new 1000 yen bill."
57,北条政子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Kamakura female regent in widow's black Buddhist robes, commanding powerful expression, rallying samurai warriors with a speech scroll, Nun Shogun."
58,後鳥羽上皇,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Japanese retired emperor in imperial robes, defiant expression, holding a military order scroll for Jokyu War against Kamakura shogunate, exiled to Oki island."
59,法然,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Kamakura Buddhist monk founder of Jodo sect in white robes, compassionate serene expression, hands in nembutsu prayer, lotus flowers, Amida Buddha light behind."
60,親鸞,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Kamakura Buddhist monk founder of Jodo Shinshu in simple robes, humble earnest expression, holding a scroll of teachings, disciple of Honen, married monk."
61,日蓮,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Kamakura Buddhist monk founder of Nichiren sect in orange-brown robes, passionate fierce expression, holding a Lotus Sutra scroll, chanting Namu Myoho Renge Kyo."
62,世阿弥,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Muromachi Noh theater master in elegant robes, graceful artistic expression, holding a Noh mask, performing a flowing dance, Fushi Kaden book beside him."
63,石田三成,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Azuchi-Momoyama samurai bureaucrat in formal black robes, loyal strategic expression, holding a military deployment map of Sekigahara battle, Toyotomi loyalty."
64,田沼意次,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo roju official in formal robes, savvy merchant-friendly expression, holding a trade guild (kabu nakama) license, coins and merchant ships behind him."
65,松平定信,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo roju reformer in austere formal robes, strict conservative expression, holding a Kansei Reform scroll, banning luxury and waste, very serious face."
66,水野忠邦,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Edo roju reformer in formal robes, stern expression, holding a Tempo Reform edict dissolving merchant guilds (kabu nakama kaishan), unpopular reformer."
67,大塩平八郎,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo Confucian scholar-rebel in samurai robes, righteous angry expression, flames behind him (Oshio Rebellion 1837), fighting to help starving people."
68,井伊直弼,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo chief minister in formal robes and tall eboshi hat, stubborn powerful expression, holding US-Japan trade treaty scroll, Sakuradamon Gate scene behind."
69,吉田松陰,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo intellectual in simple robes, passionate teacher expression, holding a book at Shoka Sonjuku village school, young students around him, visionary patriot."
70,高杉晋作,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Late Edo Choshu revolutionary in mix of samurai and Western military clothing, fierce unconventional expression, holding a Kiheitai militia flag, disciple of Yoshida Shoin."
71,与謝野晶子,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Meiji female tanka poet in elegant kimono, passionate literary expression, holding a waka poem scroll, flowers in hair, anti-war poem Kimi Shinitamau Koto Nakare."
72,原敬,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Taisho Japanese prime minister in Western suit without noble title, commoner pride expression, first true party cabinet leader, Commoner Prime Minister heiMin Saishoh."
73,平塚らいてう,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Taisho Japanese feminist in modern Meiji-era dress, determined women's rights expression, holding Seito (Bluestocking) magazine, sun and equality symbol behind her."
74,犬養毅,"Chibi 2-head-tall flat cartoon portrait, thick outlines, cream background, upper body only, minimal shadows, friendly educational style. Showa Japanese prime minister in Western suit, elder statesman expression, holding a political dialogue scroll, May 15 Incident 1932, last party cabinet premier."
